Role,Message,Undergrad,Masters,PhD,S_0,S_1,S_2,S_3,S_4,P_0,P_1,P_2,P_3,P_4,Frontend,MobileApp,Backend,CCNA,SystemSw,Linux,OS,Math,API,Team,JAVA
Software Development Engineer in Machine Learning,you are suitable for the role of Software Development Engineer in Machine Learning,0,2,0,2,0,0,0,0,2.5,0,0,0,0,0.25,0,0.5,0,0,0,0,1.25,1,0,0.5
Data Scientist,you are suitable for the role of a Data Scientist,0,1.5,1.5,2.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Security Engineer / Software Engineer in Computer Networks,you are suitable for the role of a Security Engineer of a Software Engineer in Networks domain,0,2,1,0,0,1.5,0,0,0,0,2.5,0,0,0,0,0,1,0,1,1,0,0,0,0
UI/UX Developer,"you are suitable for the role of a UI/UX engineer. Although the role demands creativity which I cannot judge, but I hope you are creative",0,0,0,0,1,0,0,0,0,3,0,0,0.5,3,0.5,0,0,0,0,0,0,0,1,1
Mobile Developer,you are suitable for the role of a Mobile developer.,0,0,0,0,0.5,0,0,0.5,0,1.5,0,0,2,0,2,0,0,0,0,0,0,2,0.5,1
DevX Engineer/ Software Engineer in Infrastructure,you are suitable for the rol of a DevX Engineer or a Software Engineer in Software Infrastructure teams,0,0.5,0,0,0,0.25,0.5,0,0,0,0.5,2,0,0,0,0.25,0,0,2.5,2,0,0.5,-1,0
System's Engineer,you are suitable for the role of a  System's engineer,0,1.5,0,0,0,0,2,0,0,0,1,2.5,0,0,0,0,0,1,1,1,0,0,0,0
Software Development Engineer,you are suitable for the role of a Software Development Engineer in an MNC,0,1,-1,0.5,0,0,0,0,0.5,0.5,0.25,0.25,0.5,0.25,0.25,1.5,0,0,1,0,0,0.5,-1,1
Software Development Engineer in Startups,you are suitable for the role of Software Engineer in a startup or   small sized dynamic teams,0,0,-1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.5,0,0,0.5,1,1
Nothing,I am sorry you need to explore a bit. You are start by developing proficiency in Object Oriented Programming ,-1,-1,-1,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1,0,0,-0.5,0,-0.5,-0.5,0,-1
